Numer RSPO;REGON;NIP;Typ;Nazwa;Kod terytorialny województwo;Kod terytorialny powiat;Kod terytorialny gmina;Kod terytorialny miejscowość;Kod terytorialny ulica;Województwo;Powiat;Gmina;Miejscowość;Rodzaj miejscowości;Ulica;Numer budynku;Numer lokalu;Kod pocztowy;Poczta;Telefon;Faks;E-mail;Strona www;Publiczność status;Kategoria uczniów;Specyfika placówki;Imię i nazwisko dyrektora;Data założenia;Data rozpoczęcia działalności;Data likwidacji;Typ organu prowadzącego;Nazwa organu prowadzącego;REGON organu prowadzącego;NIP organu prowadzącego;Województwo organu prowadzącego;Powiat organu prowadzącego;Gmina organu prowadzącego;Miejsce w strukturze;RSPO podmiotu nadrzędnego;Typ podmiotu nadrzędnego;Nazwa podmiotu nadrzędnego;Liczba uczniów;Tereny sportowe;Języki nauczane;Czy zatrudnia logopedę;Czy zatrudnia psychologa;Czy zatrudnia pedagoga;Oddziały podstawowe wg specyfiki;Oddziały dodatkowe;Zawód;Zawód artystyczny;Zawód w KPSS;Dziedzina BCU
"129401";"=""362584710""";"=""6341980617""";"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA MAMIS";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12740""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Adama Mickiewicza";"=""22""";"=""1""";"=""40-092""";"Katowice";"=""327333703""";"=""""";"szkola@sukcesedukacja.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2015.09.25";"2016.04.01";"";"Osoba fizyczna";"Wywiał Małgorzata";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"276607";"=""387277003""";"=""6480000551""";"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA ŚLĄSKIE CENTRUM ROZWOJU DZIECKA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""09615""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Tomasza Kotlarza";"=""6""";"=""""";"=""40-139""";"Katowice";"=""327206027""";"=""""";"kontakt@scrd.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"AGATA HERC-KWAŚNY";"2020.10.12";"2020.10.12";"";"Spółki Handlowe";"ŚLĄSKIE CENTRUM ROZWOJU DZIECKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""003463249""";"=""6480000551""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"264337";"=""368314733""";"=""5492027555""";"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA SPERARE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""05614""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Głogowska";"=""28""";"=""""";"=""40-660""";"Katowice";"=""604149003""";"=""""";"sabinable80@interia.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"SABINA BŁĘDZIŃSKA";"2017.09.12";"2017.09.30";"";"Osoba fizyczna";"Błędzińska Sabina";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Tak";"Tak";"Tak";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"129343";"=""362571417""";"=""9542829461""";"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA TUTTI W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""15529""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Ignacego Paderewskiego";"=""32c""";"=""""";"=""40-284""";"Katowice";"=""500482290""";"=""""";"biuro@btk-integracja.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"MARIOLA KOCJAN";"2015.09.22";"2015.10.01";"";"Spółki Handlowe";"PORADNIA TUTTI SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""389639752""";"=""9542829461""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"477948";"=""521883269""";"=""6343007855""";"Poradnia psychologiczno-pedagogiczna";"NIEPUBLICZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA TWOJA TERAPIA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""05065""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Stanisława Fliegera";"=""16a""";"=""""";"=""40-060""";"Katowice";"=""534035027""";"=""""";"biuro.twojaterapia@gmail.com";"https://twojaterapia.com.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"SYLWIA MATUSZNY";"2022.04.28";"2022.05.01";"";"Spółki Handlowe";"CENTRUM WSPOMAGANIA ROZWOJU TWOJA TERAPIA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""521474364""";"=""6343007855""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Tak";"Tak";"Tak";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"21837";"=""243056386""";"=""9542858356""";"Poradnia specjalistyczna";"NIEPUBLICZNA SPECJALISTYCZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA CENTRUM DIAGNOSTYKI I TERAPII IN CORPORE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""00926""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Bażantów";"=""2""";"=""""";"=""40-668""";"Katowice";"=""327939025""";"=""""";"info@centrumincorpore.pl";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"IWONA SOSNOWSKA-WIECZOREK";"2010.09.24";"2010.09.24";"";"Spółki Handlowe";"CENTRUM DIAGNOSTYKI I TERAPII IN CORPORE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""525982838""";"=""9542858356""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Tak";"Tak";"Tak";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"114755";"=""243270228""";"=""6343017782""";"Poradnia specjalistyczna";"NIEPUBLICZNA SPECJALISTYCZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA PERSEVERE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""08355""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Kępowa";"=""56""";"=""""";"=""40-583""";"Katowice";"=""882169064""";"=""""";"info@persevere.org.pl";"www.persevere.org.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"JOANNA IMOSA";"2013.05.27";"2013.06.01";"";"Spółki Handlowe";"CENTRUM WSPOMAGANIA ROZWOJU PERSEVERE SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""523809805""";"=""6343017782""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"119821";"=""243363042""";"=""6342820471""";"Szkoła podstawowa";"NIEPUBLICZNA SPECJALNA SZKOŁA PODSTAWOWA ARKA NOEGO";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06169""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Gromadzka";"=""59""";"=""""";"=""40-771""";"Katowice";"=""698631693""";"=""""";"sekretariat@fundacjaarkanoego.pl";"www.fundacjaarkanoego.pl";"niepubliczna";"Dzieci lub młodzież";"specjalna";"GRAŻYNA BADURA";"2013.09.12";"2014.09.01";"";"Fundacje";"ARKA NOEGO";"=""243353569""";"=""6342820471""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"40";"";"angielski";"Tak";"Tak";"Nie";"specjalny";"";"";"";"";""
"110064";"=""243188998""";"=""""";"Szkoła sztuki tańca";"NIEPUBLICZNA SZKOŁA BALETOWA SZKOŁA SZTUKI TAŃCA ARABESQUE W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""15124""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Ordona";"=""7""";"=""2""";"=""40-163""";"Katowice";"=""500012950""";"=""""";"sekretariat@arabesque.edu.pl";"arabesque.edu.pl";"niepubliczna szkoła artystyczna bez uprawnień publicznej szkoły artystycznej";"Bez kategorii";"brak specyfiki";" ";"2012.07.10";"2012.09.01";"";"Osoba fizyczna";"Nowak Grzegorz";"=""""";"=""""";"ŚLĄSKIE";"będziński";"Siewierz";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"Tancerz";"";""
"130340";"=""363878922""";"=""9542819161""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA ""NASZA SZKOŁA""";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06530""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Harcerzy Września 1939";"=""5""";"=""""";"=""40-659""";"Katowice";"=""883999710""";"=""""";"sekretariat@naszaszkolakatowice.pl";"https://naszaszkola.katowice.pl/";"niepubliczna";"Dzieci lub młodzież";"specjalna";"SABINA KUBICA";"2016.03.03";"2016.09.01";"";"Spółki Handlowe";"EDUKACJA GÓRNOŚLĄSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""387237765""";"=""9542819161""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"76";"";"angielski, francuski";"Tak";"Tak";"Nie";"specjalny";"";"";"";"";""
"123853";"=""243633151""";"=""6252071787""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA AKADEMIA MONTESSORI";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""09481""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Kostki Napierskiego";"=""38""";"=""""";"=""40-664""";"Katowice";"=""604569666""";"=""""";"sekretariat@akademiamontessori.edu.pl";"www.akademiamontessori.edu.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MONIKA DZIEWAŁTOWSKA-BIELECKA";"2014.08.12";"2014.09.01";"";"Osoba fizyczna";"DZIEWAŁTOWSKA-BIELECKA MONIKA";"=""""";"=""""";"ŚLĄSKIE";"mikołowski";"Mikołów";"samodzielna";"";"";"";"170";"";"angielski, hiszpański";"Nie";"Nie";"Tak";"ogólnodostępny";"";"";"";"";""
"278117";"=""389857555""";"=""9542821353""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA EDUHUB W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12755""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Mieczyków";"=""14""";"=""""";"=""40-748""";"Katowice";"=""789179888""";"=""""";"info@szkolaeduhub.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MAGDALENA DYBAŁ";"2021.08.31";"2021.09.01";"";"Spółki Handlowe";"EDUHUB SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""387705019""";"=""9542821353""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"67";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"272768";"=""384285249""";"=""6342877815""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA ELEMENTARZ W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""21410""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Studencka";"=""18""";"=""""";"=""40-743""";"Katowice";"=""323231235""";"=""""";"sekretariat@muzyczna.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"DOMINIKA RAKOWSKA";"2019.09.02";"2019.09.02";"";"Spółki Handlowe";"MUZYCZNY ELEMENTARZ SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""365854446""";"=""6342877815""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"81";"";"angielski";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"131661";"=""365324814""";"=""6762489379""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA FEP";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""21410""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Studencka";"=""18""";"=""""";"=""40-743""";"Katowice";"=""577079756""";"=""""";"szkola@polonia.edu.pl";"http://szkola.polonia.edu.pl/";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"MAGDA WYSOCKA";"2016.08.30";"2016.09.01";"";"Fundacje";"FUNDACJA EDUKACJI POLONIJNEJ";"=""361747890""";"=""6762489379""";"MAŁOPOLSKIE";"Kraków";"Kraków-Śródmieście";"samodzielna";"";"";"";"181";"";"angielski, hiszpański, niemiecki";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"480501";"=""526101461""";"=""5342652866""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA MAPLE BEAR KATOWICE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""21101""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Stawowa";"=""6""";"=""""";"=""40-095""";"Katowice";"=""799023511""";"=""""";"biuro@mbkatowice.pl";"www.maplebear.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"IZABELA KOTUŁA";"2023.08.10";"2023.09.01";"";"Spółki Handlowe";"MAPLE BEAR SCHOOLS POLSKA PROSTA SPÓŁKA AKCYJNA";"=""522508533""";"=""5342652866""";"MAZOWIECKIE";"Warszawa";"Wola";"samodzielna";"";"";"";"31";"";"angielski";"Tak";"Tak";"Tak";"ogólnodostępny";"";"";"";"";""
"482175";"=""529315843""";"=""9490555708""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA SUPER GIGANCI";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""02587""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Ceglana";"=""63""";"=""1""";"=""40-514""";"Katowice";"=""506002944""";"=""""";"biuro@supergiganci.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"BARBARA DYBA";"2024.08.05";"2024.09.01";"";"Osoba fizyczna";"Dyba Barbara";"=""""";"=""""";"ŚLĄSKIE";"Siemianowice Śląskie";"Siemianowice Śląskie";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"129034";"=""362485706""";"=""6342819284""";"Szkoła podstawowa";"NIEPUBLICZNA SZKOŁA PODSTAWOWA WESOŁE SŁONECZKA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06637""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Hetmańska";"=""7""";"=""""";"=""40-560""";"Katowice";"=""508508569""";"=""""";"dyrektor@wesolesloneczka.pl";"www.wesolesloneczka.pl";"niepubliczna";"Dzieci lub młodzież";"specjalna";"MARTA IR";"2015.07.23";"2015.09.01";"";"Spółki Handlowe";"CONTRATO SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""243308132""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"32";"";"angielski, niemiecki";"Tak";"Tak";"Nie";"specjalny";"";"";"";"";""
"5592";"=""243025204""";"=""7781456499""";"Szkoła policealna";"NIEPUBLICZNA SZKOŁA POLICEALNA TEB EDUKACJA W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""18095""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. gen. Kazimierza Pułaskiego";"=""25""";"=""""";"=""40-276""";"Katowice";"=""323520777""";"=""""";"katowice@teb-edukacja.pl";"www.teb.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"KATARZYNA TRZEWICZEK";"2009.09.25";"2012.09.01";"";"Spółki Handlowe";"TEB EDUKACJA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""300879141""";"=""7781456499""";"WIELKOPOLSKIE";"Poznań";"Poznań-Grunwald";"samodzielna";"";"";"";"389";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"Technik bezpieczeństwa i higieny pracy, Asystentka stomatologiczna, Higienistka stomatologiczna, Ortoptystka, Technik dentystyczny, Technik farmaceutyczny, Technik masażysta, Terapeuta zajęciowy, Technik elektroradiolog, Technik administracji, Opiekunka dziecięca, Technik usług kosmetycznych, Florysta, Opiekun medyczny, Technik sterylizacji medycznej, Technik elektroniki i informatyki medycznej, Podolog";"";"";""
"276392";"=""387116180""";"=""6342820471""";"Szkoła specjalna przysposabiająca do pracy";"NIEPUBLICZNA SZKOŁA PRZYSPOSABIAJĄCA DO PRACY ARKA NOEGO";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06169""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Gromadzka";"=""59""";"=""""";"=""40-771""";"Katowice";"=""327242742""";"=""""";"sekretariat@fundacjaarkanoego.pl";"";"niepubliczna";"Dzieci lub młodzież";"specjalna";" ";"2020.09.23";"2026.09.01";"";"Fundacje";"ARKA NOEGO";"=""243353569""";"=""6342820471""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"128778";"=""362391023""";"=""9542286641""";"Poradnia specjalistyczna";"NIEPUBLICZNA WIELOSPECJALISTYCZNA PORADNIA PSYCHOLOGICZNO-PEDAGOGICZNA ISKIERKA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""15529""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Ignacego Paderewskiego";"=""63""";"=""""";"=""40-282""";"Katowice";"=""535087450""";"=""""";"rehabilitacja.iskierka@gmail.com";"";"niepubliczna";"Bez kategorii";"brak specyfiki";"ANNA CHRZAN";"2015.08.28";"2015.09.01";"";"Osoba fizyczna";"SZYMANIEC ANNA";"=""""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Tak";"Tak";"Tak";"";"Wczesne wspomaganie rozwoju";"";"";"";""
"17025";"=""243046755""";"=""6341695199""";"Placówka doskonalenia nauczycieli";"NIEPUBLICZNE CENTRUM DOSKONALENIA KADR OŚWIATOWYCH ""KISS""";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""11249""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Józefa Lompy";"=""2""";"=""10""";"=""40-074""";"Katowice";"=""322519811""";"=""""";"biuro@kiss.pl";"www.kiss.pl";"niepubliczna";"Bez kategorii";"brak specyfiki";"ELŻBIETA BOWDUR";"2003.02.21";"2003.02.21";"";"Stowarzyszenia";"STOWARZYSZENIE KOMPUTERY I SPRAWY SZKOŁY KISS";"=""272593242""";"=""""";"ŚLĄSKIE";"mikołowski";"Mikołów";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"23812";"=""243059261""";"=""6340125330""";"Placówka Kształcenia Ustawicznego - bez szkół";"NIEPUBLICZNE CENTRUM KSZTAŁCENIA USTAWICZNEGO ZETOM W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""48240""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. ks. bpa Herberta Bednorza";"=""17""";"=""""";"=""40-384""";"Katowice";"=""322569369""";"=""322569305""";"biuro@zetom.eu";"www.zetom.eu";"niepubliczna";"Bez kategorii";"brak specyfiki";" ";"2012.03.02";"2012.03.05";"";"Spółki Handlowe";"ZAKŁADY BADAŃ I ATESTACJI ""ZETOM"" IM. PROF. F.STAUBA W KATOWICACH SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""012064730""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"0";"";"";"Nie";"Nie";"Nie";"";"";"";"";"";""
"480681";"=""526272872""";"=""5252515491""";"Przedszkole";"NIEPUBLICZNE DWUJĘZYCZNE PRZEDSZKOLE KIDS&CO";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""23375""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Uniwersytecka";"=""20""";"=""""";"=""40-007""";"Katowice";"=""537000475""";"=""""";"patrycja.kolodziejczyk@kids-co.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"PATRYCJA KOŁODZIEJCZYK";"2023.08.28";"2023.09.01";"";"Spółki Handlowe";"CENTRUM ROZWOJU DZIECKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""142984383""";"=""5252515491""";"MAZOWIECKIE";"Warszawa";"Wola";"samodzielna";"";"";"";"20";"";"angielski";"Tak";"Tak";"Nie";"ogólnodostępny";"";"";"";"";""
"123944";"=""243637835""";"=""9542744084""";"Przedszkole";"NIEPUBLICZNE INTEGRACYJNE PRZEDSZKOLE SPORTUSIE W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""09124""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Konduktorska";"=""35""";"=""""";"=""40-155""";"Katowice";"=""537707900""";"=""""";"info@kinder-park.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"DARIA WIECZOREK";"2014.08.18";"2014.09.01";"";"Spółki Handlowe";"KINDER PARK SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""360318157""";"=""""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"46";"";"angielski, niemiecki";"Tak";"Tak";"Nie";"integracyjny";"Wczesne wspomaganie rozwoju";"";"";"";""
"120230";"=""243376607""";"=""6422787965""";"Przedszkole";"NIEPUBLICZNE JEDNOODDZIAŁOWE PRZEDSZKOLE JAŚ I MAŁGOSIA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""00926""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Bażantów";"=""53""";"=""6""";"=""40-668""";"Katowice";"=""791895463""";"=""""";"edyta.jarno@wp.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"EDYTA KOŚCIUK";"2013.09.25";"2014.02.01";"";"Osoba fizyczna";"KOŚCIUK EDYTA";"=""""";"=""""";"ŚLĄSKIE";"rybnicki";"Świerklany";"samodzielna";"";"";"";"20";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"Wczesne wspomaganie rozwoju";"";"";"";""
"10090";"=""243044414""";"=""7292597869""";"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE DLA DOROSŁYCH ŻAK";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""15095""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Opolska";"=""17-19""";"=""""";"=""40-084""";"Katowice";"=""327818423""";"=""""";"katowice@zak.edu.pl";"https://katowice.zak.edu.pl/";"niepubliczna";"Dorośli";"brak specyfiki";"AGATA MIŚKOWIEC-WOLAK";"2004.09.01";"2004.09.01";"";"Spółki Handlowe";"CENTRUM NAUKI I BIZNESU ""ŻAK"" SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""100190115""";"=""7292597869""";"ŁÓDZKIE";"Łódź";"Łódź-Górna";"samodzielna";"";"";"";"217";"";"angielski";"Nie";"Nie";"Nie";"ogólnodostępny";"";"";"";"";""
"479003";"=""523126934""";"=""9542819161""";"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE NASZA SZKOŁA";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""06530""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Harcerzy Września 1939";"=""5""";"=""""";"=""40-659""";"Katowice";"=""534445015""";"=""""";"dyrektor@naszaszkolakatowice.pl";"www.liceumnaszaszkola.pl";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"SABINA KUBICA";"2022.09.13";"2023.09.01";"";"Spółki Handlowe";"EDUKACJA GÓRNOŚLĄSKA SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ";"=""387237765""";"=""9542819161""";"ŚLĄSKIE";"Katowice";"Katowice";"samodzielna";"";"";"";"15";"";"angielski, francuski";"Nie";"Nie";"Nie";"specjalny";"";"";"";"";""
"263703";"=""368216077""";"=""1130322866""";"Liceum ogólnokształcące";"NIEPUBLICZNE LICEUM OGÓLNOKSZTAŁCĄCE SZKOŁA MISTRZOSTWA SPORTOWEGO POLSKIEGO ZWIĄZKU HOKEJA NA LODZIE";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""22024""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Szopienicka";"=""66""";"=""""";"=""40-431""";"Katowice";"=""691500655""";"=""""";"sekretariat@smspzhl.pl";"";"niepubliczna";"Dzieci lub młodzież";"brak specyfiki";"ARTUR ŚLUSARCZYK";"2017.08.31";"2017.09.01";"";"Stowarzyszenia";"POLSKI ZWIĄZEK HOKEJA NA LODZIE";"=""000866426""";"=""1130322866""";"MAZOWIECKIE";"Warszawa";"Bemowo";"samodzielna";"";"";"";"42";"boiska uniwersalne/wielozadaniowe";"angielski, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny, mistrzostwa sportowego";"";"";"";"";""
"479554";"=""523787771""";"=""""";"Liceum sztuk plastycznych";"NIEPUBLICZNE LICEUM SZTUK PLASTYCZNYCH COSINUS W KATOWICACH";"=""24""";"=""2469""";"=""2469011""";"=""0937474""";"=""12740""";"ŚLĄSKIE";"Katowice";"Katowice";"Katowice";"miasto";"ul. Adama Mickiewicza";"=""3""";"=""""";"=""40-092""";"Katowice";"=""323520395""";"=""""";"lsp.katowice@cosinusyoung.pl";"https://www.cosinus.pl/young";"niepubliczna szkoła artystyczna o uprawnieniach publicznej szkoły artystycznej";"Bez kategorii";"brak specyfiki";"IWONA WILCZEK";"2022.11.25";"2023.09.01";"";"Fundacje";"FUNDACJA IMPARE";"=""364440582""";"=""5732864955""";"ZACHODNIOPOMORSKIE";"Szczecin";"Szczecin";"samodzielna";"";"";"";"74";"";"angielski, niemiecki";"Nie";"Tak";"Tak";"ogólnodostępny";"";"";"Plastyk-techniki graficzne-projektowanie graficzne";"";""
